rang;ville;vol_love_room;vol_chambre_jacuzzi;vol_total;kd_moyen;nb_kw_love
1;paris;13470;12860;26330;20;22
2;lyon;8530;2460;10990;19;14
3;toulouse;5800;280;6080;12;8
4;marseille;5670;520;6190;13;12
5;bordeaux;5230;640;5870;18;7
6;angers;3570;150;3720;15;6
7;nantes;3300;100;3400;23;3
8;lille;2900;430;3330;18;3
9;montpellier;2830;1040;3870;21;3
10;metz;2480;70;2550;23;7
11;strasbourg;2400;370;2770;21;5
12;tours;2320;90;2410;16;4
13;rennes;2220;50;2270;21;3
14;annecy;2130;530;2660;17;4
15;rouen;2130;160;2290;22;3
16;dijon;2000;70;2070;22;4
17;nancy;1990;50;2040;12;3
18;nice;1970;180;2150;15;4
19;reims;1970;120;2090;17;4
20;clermont-ferrand;1960;120;2080;15;6
21;caen;1710;100;1810;21;2
22;la rochelle;1690;90;1780;15;4
23;perpignan;1670;60;1730;21;2
24;grenoble;1460;50;1510;28;3
25;saint-etienne;1400;70;1470;15;5
26;orleans;1320;120;1440;22;4
27;toulon;1300;30;1330;16;3
28;le mans;1210;20;1230;9;3
29;aix-en-provence;1200;270;1470;7;4
30;valenciennes;1200;70;1270;16;5
31;limoges;1160;70;1230;14;5
32;brest;1100;30;1130;19;4
33;le havre;1050;50;1100;11;3
34;narbonne;1040;70;1110;5;2
35;amiens;1020;180;1200;11;2
36;poitiers;1000;50;1050;12;3
37;nimes;940;160;1100;12;3
38;saint-malo;940;0;940;17;5
39;avignon;930;140;1070;11;2
40;vannes;890;30;920;14;2
41;beziers;890;50;940;8;5
42;calais;870;70;940;9;4
43;besancon;820;90;910;12;3
44;aix-les-bains;800;210;1010;15;2
45;troyes;790;0;790;14;2
46;valence;760;50;810;8;2
47;la roche-sur-yon;680;0;680;6;3
48;colmar;660;90;750;9;2
49;pau;660;60;720;13;3
50;cannes;660;20;680;15;2
51;lens;640;0;640;20;3
52;bourges;620;90;710;11;2
53;mulhouse;620;90;710;8;2
54;albi;620;70;690;16;2
55;honfleur;610;160;770;13;2
56;sables-d-olonne;610;30;640;11;5
57;chartres;590;50;640;12;2
58;carcassonne;590;20;610;28;2
59;fecamp;580;20;600;14;2
60;chambery;570;50;620;13;3
61;cholet;570;0;570;20;2
